니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
905,17264595,767312,115102,96662,99116,110502,112285,96287,21101171,511542,140680,118143,121141,135059,137237,117685,19182883,639427,127891,107403,110128,122780,124761,106986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,17280120,768002,115205,96749,99205,110602,112386,96374,21120146,512002,140807,118249,121250,135180,137360,117791,19200133,640002,128006,107499,110227,122891,124873,107082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,17295645,768692,115309,96836,99294,110701,112487,96461,21139121,512462,140933,118356,121359,135301,137484,117896,19217383,640577,128121,107596,110326,123001,124985,107178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
908,17311170,769382,115412,96923,99383,110801,112588,96547,21158096,512922,141060,118462,121468,135423,137607,118002,19234633,641152,128236,107693,110425,123112,125097,107275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
909,17326695,770072,115516,97010,99472,110900,112689,96634,21177071,513382,141186,118568,121577,135544,137730,118108,19251883,641727,128351,107789,110524,123222,125210,107371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,17342220,770762,115619,97097,99561,110999,112790,96720,21196046,513842,141313,118674,121686,135666,137854,118214,19269133,642302,128466,107886,110624,123332,125322,107467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
911,17357745,771452,115723,97184,99650,111099,112891,96807,21215021,514302,141439,118780,121795,135787,137977,118320,19286383,642877,128581,107982,110723,123443,125434,107563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
912,17373270,772142,115826,97271,99739,111198,112991,96894,21233996,514762,141566,118887,121904,135909,138101,118425,19303633,643452,128696,108079,110822,123553,125546,107659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
913,17388795,772832,115930,97358,99829,111297,113092,96980,21252971,515222,141692,118993,122013,136030,138224,118531,19320883,644027,128811,108175,110921,123664,125658,107756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
914,17404320,773522,116033,97445,99918,111397,113193,97067,21271946,515682,141819,119099,122122,136152,138348,118637,19338133,644602,128926,108272,111020,123774,125770,107852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
915,17419845,774212,116137,97532,100007,111496,113294,97153,21290921,516142,141945,119205,122231,136273,138471,118743,19355383,645177,129041,108369,111119,123885,125883,107948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
916,17435370,774902,116240,97619,100096,111595,113395,97240,21309896,516602,142072,119312,122339,136394,138594,118849,19372633,645752,129156,108465,111218,123995,125995,108044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
917,17450895,775592,116344,97706,100185,111695,113496,97326,21328871,517062,142198,119418,122448,136516,138718,118955,19389883,646327,129271,108562,111317,124105,126107,108141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
918,17466420,776282,116447,97792,100274,111794,113597,97413,21347846,517522,142325,119524,122557,136637,138841,119060,19407133,646902,129386,108658,111416,124216,126219,108237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
919,17481945,776972,116551,97879,100363,111894,113698,97500,21366821,517982,142451,119630,122666,136759,138965,119166,19424383,647477,129501,108755,111515,124326,126331,108333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
920,17497470,777662,116654,97966,100452,111993,113799,97586,21385796,518442,142578,119737,122775,136880,139088,119272,19441633,648052,129616,108851,111614,124437,126444,108429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
921,18372344,816546,122487,102865,105475,117593,119489,102466,22455087,544364,149707,125724,128914,143724,146043,125236,20413715,680455,136097,114294,117195,130659,132766,113851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
922,18388544,817266,122595,102955,105568,117696,119595,102556,22474887,544844,149839,125834,129028,143851,146171,125346,20431715,681055,136217,114395,117298,130774,132883,113951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
923,18404744,817986,122703,103046,105661,117800,119700,102646,22494687,545324,149971,125945,129141,143978,146300,125457,20449715,681655,136337,114496,117401,130889,133000,114052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
924,18420944,818706,122811,103137,105754,117904,119805,102737,22514487,545804,150103,126056,129255,144105,146429,125567,20467715,682255,136457,114596,117505,131004,133117,114152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,18437144,819426,122919,103228,105847,118007,119911,102827,22534287,546284,150235,126167,129369,144231,146558,125678,20485715,682855,136577,114697,117608,131119,133234,114252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
926,18453344,820146,123027,103318,105940,118111,120016,102917,22554087,546764,150367,126278,129482,144358,146686,125788,20503715,683455,136697,114798,117711,131235,133351,114353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927,18469544,820866,123135,103409,106033,118215,120121,103008,22573887,547244,150499,126389,129596,144485,146815,125898,20521715,684055,136817,114899,117815,131350,133468,114453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
928,18485744,821586,123243,103500,106126,118318,120227,103098,22593687,547724,150631,126500,129710,144611,146944,126009,20539715,684655,136937,115000,117918,131465,133585,114553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
929,18501944,822306,123351,103590,106219,118422,120332,103188,22613487,548204,150763,126610,129823,144738,147073,126119,20557715,685255,137057,115100,118021,131580,133702,114654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
930,18518144,823026,123459,103681,106312,118526,120438,103279,22633287,548684,150895,126721,129937,144865,147201,126230,20575715,685855,137177,115201,118125,131695,133820,114754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
931,18534344,823746,123567,103772,106405,118630,120543,103369,22653087,549164,151027,126832,130051,144992,147330,126340,20593715,686455,137297,115302,118228,131811,133937,114855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
932,18550544,824466,123675,103862,106498,118733,120648,103459,22672887,549644,151159,126943,130164,145118,147459,126450,20611715,687055,137417,115403,118331,131926,134054,114955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
933,18566744,825186,123783,103953,106591,118837,120754,103550,22692687,550124,151291,127054,130278,145245,147588,126561,20629715,687655,137537,115503,118435,132041,134171,115055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
934,18582944,825906,123891,104044,106684,118941,120859,103640,22712487,550604,151423,127165,130392,145372,147717,126671,20647715,688255,137657,115604,118538,132156,134288,115156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
935,18599144,826626,123999,104135,106777,119044,120964,103731,22732287,551084,151555,127276,130505,145499,147845,126782,20665715,688855,137777,115705,118641,132271,134405,115256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
936,18615344,827346,124107,104225,106870,119148,121070,103821,22752087,551564,151687,127386,130619,145625,147974,126892,20683715,689455,137897,115806,118745,132387,134522,115357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
937,18631544,828066,124215,104316,106963,119252,121175,103911,22771887,552044,151819,127497,130733,145752,148103,127003,20701715,690055,138017,115907,118848,132502,134639,115457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,18647744,828786,124323,104407,107056,119355,121280,104002,22791687,552524,151951,127608,130846,145879,148232,127113,20719715,690655,138137,116007,118951,132617,134756,115557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
939,18663944,829506,124431,104497,107149,119459,121386,104092,22811487,553004,152083,127719,130960,146005,148360,127223,20737715,691255,138257,116108,119055,132732,134873,115658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
940,18680144,830226,124539,104588,107242,119563,121491,104182,22831287,553484,152215,127830,131074,146132,148489,127334,20755715,691855,138377,116209,119158,132847,134990,115758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
941,19614151,871738,130766,109818,112604,125541,127566,109391,23972851,581158,159826,134221,137628,153439,155914,133701,21793501,726448,145296,122019,125116,139490,141740,121546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
942,19630351,872458,130874,109908,112697,125645,127671,109482,23992651,581638,159958,134332,137741,153566,156043,133811,21811501,727048,145416,122120,125219,139605,141857,121646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
943,19646551,873178,130982,109999,112790,125748,127777,109572,24012451,582118,160090,134443,137855,153692,156171,133922,21829501,727648,145536,122221,125323,139720,141974,121747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
944,19662751,873898,131090,110090,112883,125852,127882,109663,24032251,582598,160222,134554,137969,153819,156300,134032,21847501,728248,145656,122322,125426,139836,142091,121847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
945,19678951,874618,131198,110180,112976,125956,127987,109753,24052051,583078,160354,134665,138082,153946,156429,134142,21865501,728848,145776,122423,125529,139951,142208,121948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
946,19695151,875338,131306,110271,113069,126059,128093,109843,24071851,583558,160486,134776,138196,154073,156558,134253,21883501,729448,145896,122523,125633,140066,142325,122048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
947,19711351,876058,131414,110362,113162,126163,128198,109934,24091651,584038,160618,134887,138310,154199,156686,134363,21901501,730048,146016,122624,125736,140181,142442,122148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
948,19727551,876778,131522,110452,113255,126267,128303,110024,24111451,584518,160750,134997,138423,154326,156815,134474,21919501,730648,146136,122725,125839,140296,142559,122249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
949,19743751,877498,131630,110543,113348,126370,128409,110114,24131251,584998,160882,135108,138537,154453,156944,134584,21937501,731248,146256,122826,125943,140412,142676,122349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
950,19759951,878218,131738,110634,113441,126474,128514,110205,24151051,585478,161014,135219,138651,154579,157073,134694,21955501,731848,146376,122926,126046,140527,142793,122450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
951,19776151,878938,131846,110725,113534,126578,128619,110295,24170851,585958,161146,135330,138764,154706,157201,134805,21973501,732448,146496,123027,126149,140642,142910,122550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
952,19792351,879658,131954,110815,113627,126681,128725,110385,24190651,586438,161278,135441,138878,154833,157330,134915,21991501,733048,146616,123128,126253,140757,143027,122650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
953,19808551,880378,132062,110906,113720,126785,128830,110476,24210451,586918,161410,135552,138992,154960,157459,135026,22009501,733648,146736,123229,126356,140872,143145,122751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
954,19824751,881098,132170,110997,113813,126889,128935,110566,24230251,587398,161542,135663,139105,155086,157588,135136,22027501,734248,146856,123330,126459,140988,143262,122851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
955,19840951,881818,132278,111087,113906,126993,129041,110656,24250051,587878,161674,135773,139219,155213,157717,135247,22045501,734848,146976,123430,126563,141103,143379,122951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
956,19857151,882538,132386,111178,113999,127096,129146,110747,24269851,588358,161806,135884,139333,155340,157845,135357,22063501,735448,147096,123531,126666,141218,143496,123052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
957,19873351,883258,132494,111269,114092,127200,129252,110837,24289651,588838,161938,135995,139446,155467,157974,135467,22081501,736048,147216,123632,126769,141333,143613,123152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
958,19889551,883978,132602,111359,114185,127304,129357,110927,24309451,589318,162070,136106,139560,155593,158103,135578,22099501,736648,147336,123733,126873,141448,143730,123253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
959,19905751,884698,132710,111450,114278,127407,129462,111018,24329251,589798,162202,136217,139674,155720,158232,135688,22117501,737248,147456,123833,126976,141564,143847,123353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
960,19921951,885418,132818,111541,114371,127511,129568,111108,24349051,590278,162334,136328,139787,155847,158360,135799,22135501,737848,147576,123934,127079,141679,143964,123453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
961,20918048,929688,139460,117118,120090,133887,136046,116664,25566504,619792,170451,143144,146777,163639,166279,142589,23242276,774740,154955,130131,133433,148763,151162,129626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
962,20934923,930438,139572,117212,120187,133995,136156,116758,25587129,620292,170588,143260,146895,163771,166413,142704,23261026,775365,155080,130236,133541,148883,151284,129731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
963,20951798,931188,139685,117307,120284,134103,136266,116852,25607754,620792,170726,143375,147014,163903,166547,142819,23279776,775990,155205,130341,133649,149003,151406,129835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
964,20968673,931938,139797,117401,120381,134211,136375,116946,25628379,621292,170863,143491,147132,164035,166681,142934,23298526,776615,155330,130446,133756,149123,151528,129940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
965,20985548,932688,139910,117496,120478,134319,136485,117040,25649004,621792,171001,143606,147250,164167,166815,143049,23317276,777240,155455,130551,133864,149243,151650,130044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
966,21002423,933438,140022,117590,120575,134427,136595,117134,25669629,622292,171138,143722,147369,164299,166949,143164,23336026,777865,155580,130656,133972,149363,151772,130149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
967,21019298,934188,140135,117685,120671,134535,136705,117228,25690254,622792,171276,143837,147487,164431,167083,143279,23354776,778490,155705,130761,134079,149483,151894,130254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968,21036173,934938,140247,117779,120768,134643,136814,117322,25710879,623292,171413,143953,147606,164563,167218,143394,23373526,779115,155830,130866,134187,149603,152016,130358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
969,21053048,935688,140360,117874,120865,134751,136924,117416,25731504,623792,171551,144068,147724,164695,167352,143509,23392276,779740,155955,130971,134295,149723,152138,130463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
970,21069923,936438,140472,117968,120962,134859,137034,117511,25752129,624292,171688,144183,147842,164827,167486,143624,23411026,780365,156080,131076,134402,149843,152260,130567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
971,21086798,937188,140585,118063,121059,134967,137144,117605,25772754,624792,171826,144299,147961,164959,167620,143739,23429776,780990,156205,131181,134510,149963,152382,130672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
972,21103673,937938,140697,118157,121156,135075,137253,117699,25793379,625292,171963,144414,148079,165091,167754,143854,23448526,781615,156330,131286,134618,150083,152504,130776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
973,21120548,938688,140810,118252,121253,135183,137363,117793,25814004,625792,172101,144530,148198,165223,167888,143969,23467276,782240,156455,131391,134725,150203,152626,130881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
974,21137423,939438,140922,118346,121350,135291,137473,117887,25834629,626292,172238,144645,148316,165355,168022,144084,23486026,782865,156580,131496,134833,150323,152748,130986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
975,21154298,940188,141035,118441,121446,135399,137583,117981,25855254,626792,172376,144761,148434,165487,168157,144199,23504776,783490,156705,131601,134940,150443,152870,131090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
976,21171173,940938,141147,118535,121543,135507,137692,118075,25875879,627292,172513,144876,148553,165619,168291,144314,23523526,784115,156830,131706,135048,150563,152992,131195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
977,21188048,941688,141260,118630,121640,135615,137802,118169,25896504,627792,172651,144992,148671,165751,168425,144429,23542276,784740,156955,131811,135156,150683,153113,131299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
978,21204923,942438,141372,118724,121737,135723,137912,118263,25917129,628292,172788,145107,148790,165883,168559,144544,23561026,785365,157080,131916,135263,150803,153235,131404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
979,21221798,943188,141485,118819,121834,135831,138022,118358,25937754,628792,172926,145223,148908,166015,168693,144659,23579776,785990,157205,132021,135371,150923,153357,131508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
980,21238673,943938,141597,118913,121931,135939,138131,118452,25958379,629292,173063,145338,149026,166147,168827,144774,23598526,786615,157330,132126,135479,151043,153479,131613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
981,22300607,991135,148677,124859,128028,142736,145038,124375,27256297,660757,181717,152606,156478,174455,177269,152013,24778452,825946,165197,138732,142253,158596,161154,138194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
982,22317482,991885,148790,124954,128125,142844,145148,124469,27276922,661257,181854,152721,156597,174587,177403,152129,24797202,826571,165322,138837,142361,158716,161276,138299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
983,22334357,992635,148902,125048,128221,142952,145258,124563,27297547,661757,181992,152837,156715,174719,177537,152244,24815952,827196,165447,138942,142468,158836,161398,138403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
984,22351232,993385,149015,125143,128318,143060,145368,124657,27318172,662257,182129,152952,156833,174851,177671,152359,24834702,827821,165572,139047,142576,158956,161520,138508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
985,22368107,994135,149127,125237,128415,143168,145477,124751,27338797,662757,182267,153067,156952,174983,177806,152474,24853452,828446,165697,139152,142684,159076,161641,138612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
986,22384982,994885,149240,125331,128512,143276,145587,124845,27359422,663257,182404,153183,157070,175115,177940,152589,24872202,829071,165822,139257,142791,159196,161763,138717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
987,22401857,995635,149352,125426,128609,143384,145697,124939,27380047,663757,182542,153298,157189,175247,178074,152704,24890952,829696,165947,139362,142899,159316,161885,138821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
988,22418732,996385,149465,125520,128706,143492,145807,125033,27400672,664257,182679,153414,157307,175379,178208,152819,24909702,830321,166072,139467,143006,159436,162007,138926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
989,22435607,997135,149577,125615,128803,143600,145916,125128,27421297,664757,182817,153529,157425,175511,178342,152934,24928452,830946,166197,139572,143114,159556,162129,139031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
990,22452482,997885,149690,125709,128900,143708,146026,125222,27441922,665257,182954,153645,157544,175643,178476,153049,24947202,831571,166322,139677,143222,159676,162251,139135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
991,22469357,998635,149802,125804,128996,143816,146136,125316,27462547,665757,183092,153760,157662,175775,178610,153164,24965952,832196,166447,139782,143329,159796,162373,139240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
992,22486232,999385,149915,125898,129093,143924,146246,125410,27483172,666257,183229,153876,157781,175907,178745,153279,24984702,832821,166572,139887,143437,159916,162495,139344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
993,22503107,1000135,150027,125993,129190,144032,146355,125504,27503797,666757,183367,153991,157899,176039,178879,153394,25003452,833446,166697,139992,143545,160036,162617,139449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
994,22519982,1000885,150140,126087,129287,144140,146465,125598,27524422,667257,183504,154107,158018,176171,179013,153509,25022202,834071,166822,140097,143652,160156,162739,139553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
995,22536857,1001635,150252,126182,129384,144248,146575,125692,27545047,667757,183642,154222,158136,176303,179147,153624,25040952,834696,166947,140202,143760,160276,162861,139658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
996,22553732,1002385,150365,126276,129481,144356,146685,125786,27565672,668257,183779,154338,158254,176435,179281,153739,25059702,835321,167072,140307,143868,160396,162983,139763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
997,22570607,1003135,150477,126371,129578,144464,146794,125880,27586297,668757,183917,154453,158373,176567,179415,153854,25078452,835946,167197,140412,143975,160516,163105,139867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
998,22587482,1003885,150590,126465,129675,144572,146904,125975,27606922,669257,184054,154569,158491,176699,179549,153969,25097202,836571,167322,140517,144083,160636,163227,139972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
999,22604357,1004635,150702,126560,129771,144680,147014,126069,27627547,669757,184192,154684,158610,176831,179684,154084,25115952,837196,167447,140622,144190,160756,163349,140076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000,22621232,1005385,150815,126654,129868,144788,147124,126163,27648172,670257,184329,154800,158728,176963,179818,154199,25134702,837821,167572,140727,144298,160876,163471,140181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
